Retweets,Likes,Cleaned_Tweets,day,month
209,7021, thanks,27,10
755,26737,Absolutely,27,10
55927,356623,Dear Twitter Advertisers,27,10
9366,195546,Meeting a lot of cool people at Twitter today!,26,10
145520,1043592,Entering Twitter HQ – let that sink in!,26,10
699,10189,Definitely closer to citizen journalism – local news orgs are under-appreciated &amp; should get way more prominence on Twitter,26,10
126,2920,Nobody bats 1000 ,26,10
37951,294406,A beautiful thing about Twitter is how it empowers citizen journalism – people are able to disseminate news without an establishment bias,26,10
488,5529,I’m a big fan of citizen journalism!,26,10
4603,62693,“According to unnamed sources close to the matter who wish to remain anonymous” ,26,10
10733,100922,"“The New York Times has emerged as a new, chaotic actor in global politics. The paper’s interventions in some of the world’s most combustible conflicts have sometimes been a boon, but their messaging has also caused problems.”",26,10
477,14209,Yes!,26,10
149,2863,30% is a lot,26,10
719,17443,Concerning,26,10
3565,41798,Works on any moving land object,25,10
284,4981,Fasting rocks,25,10
573,11512,Had to do a double-take. This is the first non-fake Vitalik tweet I’ve seen in a while.,25,10
241,4712,One man’s hedge is another man’s shrub,25,10
347,9328,Yup,25,10
238,4711,True,25,10
4121,40332,Too much respect for authority inhibits innovation,25,10
11678,148115,What lesson took you the longest to unlearn?,25,10
6978,97401,διαλεκτική,25,10
3374,25719,"Twitter should be as broadly inclusive as possible, serving as a fair forum for lively, even if occasionally rancorous, debate between widely divergent beliefs.",25,10
138,2231,Absolutely necessary,24,10
99,2261,!,24,10
494,9551,Important,24,10
75,1556,Yup,24,10
116,2467,Exactly!,24,10
1289,26093,"Yeah, doesn’t make sense",24,10
133,2639,Good thread,24,10
91,1902,I only play crazy 9’s,24,10
235,3806,"That’s the plan, unless it is damaged in testing. What really matters is that ship &amp; booster production line is spooling up. Also, each new ship &amp; booster has incremental design improvements.",24,10
281,5838,"Yeah, I’m back to spare bedroom /couch surfing at friend’s houses in Silicon Valley, which I did for about a decade.Frankly, I like it this way, as I get to see my friends, who I love, more often.",24,10
272,3692,"I did as a child, but found it to be too simple to be useful in real life: a mere 8 by 8 grid, no fog of war, no technology tree, no random map or spawn position, only 2 players, both sides exact same pieces, etc.Polytopia addresses these limitations.",24,10
635,8781,"And I don’t even own a house, let alone a “mansion”, you douche",24,10
1882,15587,"While it’s true that Kasparov is almost as good at playing chess as my iPhone, he is otherwise an idiot",24,10
75,1646,Yes,24,10
2112,47168,How exciting to be alive at the same time as the largest animal ever! Wild that Blue whales are bigger than the biggest dinosaur.,24,10
216,5152,You’re most welcome,24,10
1094,11673,"Before DoD even came back with an answer, I told  that SpaceX would not turn off Starlink even if DoD refused to provide funding",24,10
513,10287,Absolutely!,23,10
603,10825,Interesting,23,10
1277,35925,Great game,23,10
3989,53403,"Maybe it was a social media algorithm, not even people",23,10
12460,113306,Think about who might have decided “The Current Thing” before accepting it,23,10
9180,116769,Who decides “The Current Thing?”Real question. I don’t know.,23,10
1392,17195,Exactly. WaPo are such hypocrites.,23,10
4864,61933,Neuralink show &amp; tell now on Nov 30,23,10
532,11588,Had to be done,23,10
563,10958,We’ve come a long way,23,10
22736,211899,i know|nothing|is forever,23,10
1895,36854,Good point ,22,10
1325,19386,This needs to change. Manufacturing is awesome!,22,10
1106,23152,It will happen,22,10
712,11610,Hear! Hear!,22,10
2163,24501,Why are you perpetuating propaganda concocted by the oil &amp; gas industry to distract you from the 6 trillion dollars per *year* of subsidies those companies receive?,22,10
107,2003,"Switzerland &amp; Belgium have great chocolate, but I do also love eccentric British &amp; Irish artisanal sweet shops",22,10
265,3761,Good thread,22,10
556,8565,"Next week. It’s actually a major release, so a lot more internal testing is needed before going to public beta.",21,10
867,13902,Cool,21,10
1039,27075, Although there could be more R&amp;D in candy tbh. Feels like there hasn’t been much improvement in decades.,21,10
762,9831,"Headline is misleading. Starlink can obviously offer far more robust positioning than GPS, as it will have ~1000X more satellites over time. Not all will have line of sight to users, but still &gt;10X GPS &amp; far stronger signal.Just not today’s problem.",21,10
133,2735,One of my favorite conspiracy theories is that the world is actually 80% men,21,10
128,2797,un ass ailable logic!,21,10
183,4890,Yes,21,10
119,2138,"You’re right. Eventually, we all run out of time.",21,10
2900,42072,"Only Giga Berlin can make these colors, as paint shop was specially built to apply many fine layers of paint, giving it complexity not otherwise possible",21,10
337,3623,"Varies a lot. Tesla &amp; SpaceX are in good positions, but many other companies are not. Recessions do have a silver lining in that companies that shouldn’t exist stop existing.",21,10
508,5406,"Those who want Putin removed are laboring under the misapprehension that whoever replaces him will be more amenable to peace or western philosophy, but I think this is unlikely – the Kremlin is not the Nice Guy Olympics",21,10
102,1484,"Russia overrunning Ukraine would destabilize the entire region, perhaps the world",21,10
123,1465,"If Russia faced calamitous defeat in conventional warfare for something as strategically critical as Crimea, the probability of using nuclear weapons is high",21,10
78,2029,I do. Yes.,21,10
102,1582,"Still very unlikely, but this is the closest we’ve been since Cuba in ‘62",21,10
561,5054,"Just guessing, but probably until spring of ‘24",21,10
3155,50073,It sure would be nice to have one year without a horrible global event,21,10
91,1555,“Brutal for both sides” will be a common phrase in the months to come,21,10
2842,20196,No way,21,10
153,3127,Maybe,21,10
1303,16245,Certainly warrants closer scrutiny,21,10
751,15340,"Btw, how’s it going in Bakhmut?",20,10
1347,39191,Pretty good troll tbh,20,10
125,4777,*humour,20,10
100,2418,I couldn’t agree more ,20,10
1981,58475,British humor is the best,20,10
