"","tweets","sentiment","date","at_dummy"
"1","@DonnieWahlberg I like you!!! (sorry, bad Royal Pains reference) Love you too!!!!  For 14 years!",4,"Fri Jun 05 22:24:04 PDT 2009",1
"2","Asssk me why the fcuuk i straightened my haair..and i won't knoow.  maaan..",0,"Tue Jun 16 07:01:41 PDT 2009",0
"3","Sunny Here!  Everyone have a fun and safe weekend!",4,"Fri May 22 07:09:44 PDT 2009",0
"4","@MrSan i was just as amazed! ",4,"Sun Jun 07 16:46:21 PDT 2009",1
"5","the count down begins 3 day until My 21st Birthday ",4,"Mon May 18 07:53:40 PDT 2009",0
"6","Cute bear just started working at gas station in Richmond. Str8 tho.  LOL",0,"Sun Jun 07 13:33:47 PDT 2009",0
"7","@ChesterBe i love the sound of your cookie. it's...ehrm...crunchy... lol.  looking forward so badly to seeing you on august 2nd. ",4,"Sat May 30 05:38:28 PDT 2009",1
"8","  my parents left",0,"Sun Jun 07 04:26:45 PDT 2009",0
"9","@seika_i noooooo. you can't be bored. ",0,"Thu Jun 25 04:17:07 PDT 2009",1
"10","Very sad news - Mr David Eddings is no longer with us  - http://bit.ly/hQQ8T",0,"Sat Jun 06 23:32:57 PDT 2009",0
"11","Saved by the bell oh memories ",4,"Tue Jun 02 04:01:52 PDT 2009",0
"12","Studying for a test! On a sunday ",0,"Sun May 03 10:06:10 PDT 2009",0
"13","Oh yes and BIG ups to ALL my new followers!! Thanks for the follow! You all are the coolest. I promise to keep it POSITIVE over here! ",4,"Fri May 29 07:57:24 PDT 2009",0
"14","woo! shes back on ",4,"Fri May 29 13:23:55 PDT 2009",0
"15","Danny deleted his Tweet to me :/ I'm glad I print screened lol, but still ",0,"Sat May 30 04:10:33 PDT 2009",0
"16","is (finally) up from blackjack, but only by $50 ",0,"Fri Jun 05 13:04:49 PDT 2009",0
"17","I think there is a dispensary right next to where I got m hair done. The cutest dog is outside. ",4,"Sat Jun 06 12:24:19 PDT 2009",0
"18","jus had a henna tatto on my hand/arm  x",4,"Sun Jun 07 06:12:53 PDT 2009",0
"19","@_most_wanted_ aww I feel bad about that ",0,"Wed Jun 03 00:53:02 PDT 2009",1
"20","singing at cousin's wedding in 2 months  she picked the perfect song for the first dance for her and her fiance.",4,"Fri May 29 23:32:17 PDT 2009",0
"21","Just got to wrk! Hoped out the bed and DIDNT turn my swag on, hope today gets better ",4,"Tue Jun 16 06:15:03 PDT 2009",0
"22"," trying to find an acting audition (its hard!)",0,"Wed Jun 24 21:35:04 PDT 2009",0
"23","Helping set up. Then a pirate birthday party for my two little sisters.  this is going to be a blast. Argh!",4,"Sun May 31 04:54:57 PDT 2009",0
